Data
1553450
1691250
1473500
1463100
1624950
1345450
1257050
1459850
1461800
1641200
1944750
1944750
1444250
1467650
1728300
1753000
1335050
1392900
1266150
1790700
1442300
1780300
1784850
1433200
1429950
1751700
1213500
1564500
1527450
1598300
1165400
1866100
1585950
1707500
1459850
1408500
1387700
1402650
1290200
1247300
1285650
1248250
1088500
1538500
1375000
1318750
1440250
1243000
1083250
1594000
1335250
1062250
1020250
862750
1015750
1044250
1270000
1606000
1462000
1271500
